campaign_id,merchant_id,merchant_category,merchant_size,candidate_action_type,target_segment,discount_type,discount_value,proposed_budget,campaign_duration_days,channel,baseline_revenue_before,baseline_transactions_before,baseline_customers_before,baseline_aov,observed_lift_percent,observed_revenue_after,observed_roi,is_positive_growth,recommendation_score,is_observational_estimate,causal_guarantee_disclaimer,split
camp-0001,m-001,Food & Beverage,MICRO,EVENING_REVIVAL,Inactive Regulars (312 customers) + Evening commuters,FLAT,16.0,4200.0,10,WhatsApp Broadcast Only,308190.14,1292,581,238.54,27.2,392017.86,9.6,1,100.0,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0098,m-034,Food & Beverage,MICRO,CUSTOM,Evening Commuters,PERCENTAGE,10.0,2500.0,10,Paytm App Geo-Fence Push,273079.04,1470,661,185.77,14.6,312948.58,7.7,1,87.7,True,Observational outcome; represents correlational recommendation estimate.,VALIDATION
camp-0099,m-034,Food & Beverage,MICRO,EVENING_REVIVAL,Loyal Champions,PERCENTAGE,20.0,2500.0,14,WhatsApp + SMS + Paytm Soundbox Banner,304731.89,1374,618,221.78,21.9,371468.17,9.49,1,100.0,True,Observational outcome; represents correlational recommendation estimate.,VALIDATION
camp-0100,m-034,Food & Beverage,MICRO,SEASONAL_SPECIAL,Evening Commuters,FLAT,50.0,5500.0,7,SMS + QR Standee at Counter,318436.79,1335,600,238.53,15.1,366520.75,4.85,1,74.45,True,Observational outcome; represents correlational recommendation estimate.,VALIDATION
camp-0101,m-035,Fashion,MICRO,CUSTOM,Evening Commuters,PERCENTAGE,20.0,7500.0,21,SMS + QR Standee at Counter,331544.59,1834,825,180.78,6.7,353758.08,0.58,0,36.3,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0102,m-035,Fashion,MICRO,SEASONAL_SPECIAL,Evening Commuters,FLAT,49.0,2500.0,14,SMS + QR Standee at Counter,256484.84,1245,560,206.01,8.8,279055.51,0.44,0,39.8,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0103,m-036,Food & Beverage,MICRO,RETENTION_WINBACK,Dormant Regulars,PERCENTAGE,10.0,3500.0,21,WhatsApp + SMS + Paytm Soundbox Banner,287002.23,1567,705,183.15,6.8,306518.38,-0.14,0,32.9,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0104,m-036,Food & Beverage,MICRO,CUSTOM,Dormant Regulars,PERCENTAGE,25.0,7500.0,7,WhatsApp + SMS + Paytm Soundbox Banner,316267.39,1401,630,225.74,19.5,377939.53,6.3,1,90.5,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0105,m-037,Food & Beverage,MEDIUM,EVENING_REVIVAL,Dormant Regulars,FLAT,50.0,5500.0,7,WhatsApp Broadcast Only,214495.11,1149,517,186.68,4.0,223074.91,-0.17,0,27.15,True,Observational outcome; represents correlational recommendation estimate.,VALIDATION
camp-0106,m-037,Food & Beverage,MEDIUM,WEEKEND_SURGE,Evening Commuters,PERCENTAGE,25.0,5500.0,10,WhatsApp Broadcast Only,197008.45,1021,459,192.96,18.7,233849.03,4.33,1,79.05,True,Observational outcome; represents correlational recommendation estimate.,VALIDATION
camp-0107,m-037,Food & Beverage,MEDIUM,CUSTOM,Loyal Champions,FLAT,50.0,1500.0,14,Paytm App Geo-Fence Push,325617.25,1752,788,185.85,13.5,369575.58,6.61,1,80.05,True,Observational outcome; represents correlational recommendation estimate.,VALIDATION
camp-0108,m-037,Food & Beverage,MEDIUM,RETENTION_WINBACK,Dormant Regulars,PERCENTAGE,10.0,7500.0,7,WhatsApp Broadcast Only,243235.78,1080,486,225.22,18.5,288234.4,5.18,1,82.9,True,Observational outcome; represents correlational recommendation estimate.,VALIDATION
camp-0109,m-038,Services,SMALL,SEASONAL_SPECIAL,Loyal Champions,PERCENTAGE,20.0,2500.0,10,WhatsApp Broadcast Only,232834.63,1240,558,187.77,5.3,245174.87,0.9,0,35.1,True,Observational outcome; represents correlational recommendation estimate.,VALIDATION
camp-0110,m-038,Services,SMALL,WEEKEND_SURGE,Evening Commuters,FLAT,50.0,5500.0,10,Paytm App Geo-Fence Push,328805.72,1533,689,214.49,12.2,368920.02,9.12,1,90.0,True,Observational outcome; represents correlational recommendation estimate.,VALIDATION
camp-0111,m-038,Services,SMALL,CUSTOM,Weekend Shoppers,FLAT,50.0,4200.0,10,SMS + QR Standee at Counter,180973.18,879,395,205.89,11.1,201061.2,0.93,0,46.85,True,Observational outcome; represents correlational recommendation estimate.,VALIDATION
camp-0112,m-038,Services,SMALL,EVENING_REVIVAL,Evening Commuters,PERCENTAGE,20.0,1500.0,21,Paytm App Geo-Fence Push,285995.32,1306,587,218.99,4.0,297435.13,-0.08,0,27.6,True,Observational outcome; represents correlational recommendation estimate.,VALIDATION
camp-0113,m-039,Services,SMALL,SEASONAL_SPECIAL,Weekend Shoppers,PERCENTAGE,25.0,7500.0,10,SMS + QR Standee at Counter,198936.94,1002,450,198.54,18.4,235541.34,6.6,1,89.8,True,Observational outcome; represents correlational recommendation estimate.,TEST
camp-0114,m-039,Services,SMALL,EVENING_REVIVAL,Loyal Champions,PERCENTAGE,10.0,2500.0,7,WhatsApp + SMS + Paytm Soundbox Banner,191939.31,853,383,225.02,28.9,247409.77,3.55,1,95.55,True,Observational outcome; represents correlational recommendation estimate.,TEST
camp-0115,m-039,Services,SMALL,EVENING_REVIVAL,Weekend Shoppers,FLAT,49.0,3500.0,14,SMS + QR Standee at Counter,222899.53,1106,497,201.54,6.3,236942.2,0.93,0,37.25,True,Observational outcome; represents correlational recommendation estimate.,TEST
camp-0116,m-040,Pharmacy,MEDIUM,WEEKEND_SURGE,Evening Commuters,PERCENTAGE,15.0,3500.0,7,Paytm App Geo-Fence Push,331722.62,1827,822,181.57,7.0,354943.2,0.26,0,35.3,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0117,m-040,Pharmacy,MEDIUM,SEASONAL_SPECIAL,Loyal Champions,PERCENTAGE,15.0,5500.0,10,Paytm App Geo-Fence Push,296302.34,1362,612,217.55,27.2,376896.58,7.61,1,100.0,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0118,m-040,Pharmacy,MEDIUM,EVENING_REVIVAL,Loyal Champions,PERCENTAGE,25.0,2500.0,10,Paytm App Geo-Fence Push,253914.73,1173,527,216.47,19.0,302158.53,5.35,1,84.75,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0119,m-040,Pharmacy,MEDIUM,BASKET_SIZE_UPSELL,Dormant Regulars,PERCENTAGE,10.0,2500.0,21,SMS + QR Standee at Counter,261847.35,1297,583,201.89,15.3,301909.99,4.48,1,73.0,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
camp-0120,m-041,Grocery,SMALL,RETENTION_WINBACK,Loyal Champions,PERCENTAGE,20.0,7500.0,21,SMS + QR Standee at Counter,224592.16,1024,460,219.33,15.8,260077.72,5.54,1,79.3,True,Observational outcome; represents correlational recommendation estimate.,TRAIN
